Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
set_A (10x5x5),10,15x20,1,50,83.3,1.00,1,50,83.3,0.0,0,        0.00%
set_B (смесь),10,20x20,1,0,77.8,1.00,1,24,77.8,0.0,0,        0.00%
set_C (крупные),6,20x20,2,0,78.1,2.00,2,0,78.1,0.0,0,        0.00%
Набор 1 (20x4x4),20,20x20,1,80,80.0,1.00,1,80,80.0,0.0,0,        0.00%
Набор 2 (мелкие+крупные),16,20x20,2,334,52.0,2.00,2,338,52.0,0.0,0,        1.20%
Набор 3 (полосы),12,20x20,2,316,58.5,2.00,2,302,58.5,0.0,0,       -4.43%
Набор 4 (мебель),12,20x20,3,328,60.0,2.20,2,24,90.0,33.3,1,       29.27%
"milli_metal_1 (лист 2000x3000,",18,2000x3000,1,5877900,1.7,1.00,1,5877900,1.7,0.0,0,        0.00%
"milli_metal_2 (лист 2500x1250,",14,2500x1250,1,2873775,6.6,1.00,1,2873775,6.6,0.0,0,        0.00%
milli_plywood_1 (фанера 2440x1,15,2440x1220,1,2219300,24.1,1.00,1,2247000,24.1,0.0,0,        1.25%
milli_plywood_2 (фанера 3050x1,14,3050x1525,1,3181800,30.1,1.00,1,3191550,30.1,0.0,0,        0.31%
milli_plastic_1 (ПВХ 2000x4000,12,2000x4000,1,7116500,11.0,1.00,1,7116500,11.0,0.0,0,        0.00%
milli_plastic_2 (поликарбонат ,13,2100x12000,1,22406000,10.1,1.00,1,22636000,10.1,0.0,0,        1.03%
milli_glass_1 (стекло 3210x200,13,3210x2000,1,3019000,51.1,1.00,1,3045300,51.1,0.0,0,        0.87%
milli_glass_2 (стекло 2250x321,13,2250x3210,1,2772900,61.1,1.00,1,2570000,61.1,0.0,0,       -7.32%
milli_aluminum_1 (алюминий 150,11,1500x3000,1,4297200,4.5,1.00,1,4297200,4.5,0.0,0,        0.00%
milli_composite_1 (композит 25,14,2500x1200,1,2011600,32.2,1.00,1,2022250,32.2,0.0,0,        0.53%
"safe_metal_20 (лист 1500x3000,",20,1500x3000,2,3764000,57.3,2.00,2,3775000,57.3,0.0,0,        0.29%
safe_plywood_30 (фанера 2440x1,30,2440x1220,2,2979725,50.0,2.00,2,2979725,50.0,0.0,0,        0.00%
safe_aluminum_40 (лист 1500x30,39,1500x3000,1,1759150,60.9,1.00,1,1759150,60.9,0.0,0,        0.00%
safe_plastic_50 (ПВХ 2000x4000,50,2000x4000,1,2001355,74.9,1.00,1,1990985,74.9,0.0,0,       -0.52%
safe_glass_60 (стекло 3210x200,60,3210x2000,1,4949765,22.7,1.00,1,4955244,22.7,0.0,0,        0.11%
safe_wood_25 (массив 2000x1000,25,2000x1000,1,872415,56.4,1.00,1,872415,56.4,0.0,0,        0.00%
safe_metal_long_35 (лист 2000x,35,2000x6000,1,9445225,21.2,1.00,1,9438950,21.2,0.0,0,       -0.07%
safe_plastic_mix_45 (лист 2000,43,2000x3000,1,1462597,75.5,1.00,1,1471078,75.5,0.0,0,        0.58%
safe_glass_huge_55 (лист 4000x,53,4000x2500,1,764186,92.3,2.00,2,10772352,46.1,-100.0,-1,        0.08%
safe_mix_30 (лист 2500x1800),31,2500x1800,1,2252418,49.9,1.00,1,2254766,49.9,0.0,0,        0.10%
hard_metal_2large_20small (200,22,2000x3000,2,3890000,63.1,2.00,2,3490000,63.1,0.0,0,      -10.28%
hard_furniture_mix (2800x2070),20,2800x2070,2,3106000,71.3,2.00,2,3081000,71.3,0.0,0,       -0.80%
hard_glass_long_strips (3210x2,16,3210x2000,3,8747500,54.4,2.00,2,2367500,81.6,33.3,1,        0.46%
hard_plywood_blocks (2440x1220,20,2440x1220,2,1376800,75.2,2.00,2,1376000,75.2,0.0,0,       -0.06%
hard_plastic_complex (2000x400,20,2000x4000,3,7965000,66.8,3.00,3,7965000,66.8,0.0,0,        0.00%
hard_aluminum_tricky (1500x300,20,1500x3000,2,3877875,56.9,2.00,2,3877875,56.9,0.0,0,        0.00%
hard_steel_mix (2000x6000),20,2000x6000,2,6105750,74.6,2.00,2,6105750,74.6,0.0,0,        0.00%
hard_glass_squares (2250x3210),16,2250x3210,3,9242500,57.2,3.00,3,9242500,57.2,0.0,0,        0.00%
hard_wood_varied (2000x1000),20,2000x1000,2,1552750,61.2,2.00,2,1552750,61.2,0.0,0,        0.00%
hard_composite_extreme (2500x1,20,2500x1200,2,3236825,46.1,2.00,2,3236825,46.1,0.0,0,        0.00%
random_set_1,20,20x20,3,74,75.7,3.00,3,111,75.7,0.0,0,       50.00%
random_set_2,30,20x20,5,155,86.1,5.00,5,96,86.1,0.0,0,      -38.06%
random_set_3,40,20x20,7,27,90.6,7.20,7,27,90.6,0.0,0,        0.00%
random_set_4,50,20x20,8,0,91.5,8.60,8,9,91.5,0.0,0,        0.00%
random_set_5,60,20x20,10,273,85.9,10.00,10,180,85.9,0.0,0,      -34.07%
